Time resolution is 1 ps
                   0clk = 0, s = x, rst = 1, Count = xx, address = xx, Control = xxxx, T = xxxxX, Inst = xx, A = x, B = x, Y = x
                3200clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                3250clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                3300clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                3350clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                3400clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                3450clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                3500clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                3550clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                3600clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                3650clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                3700clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                3750clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                3800clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                3850clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                3900clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                3950clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                4000clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                4050clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                4100clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                4150clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                4200clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                4250clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                4300clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                4350clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                4400clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                4450clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                4500clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                4550clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                4600clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                4650clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                4700clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                4750clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
