Time resolution is 1 ps
                2210clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2220clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2230clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2240clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2250clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2260clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2270clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2280clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2290clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2300clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2310clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2320clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2330clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2340clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2350clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2360clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2370clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2380clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2390clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2400clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2410clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2420clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2430clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2440clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2450clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2460clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2470clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2480clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2490clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2500clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2510clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2520clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2530clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2540clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2550clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2560clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2570clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2580clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2590clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2600clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2610clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2620clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2630clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2640clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2650clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2660clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2670clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2680clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2690clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2700clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2710clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2720clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2730clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2740clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2750clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2760clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2770clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2780clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2790clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2800clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2810clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2820clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2830clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2840clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2850clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2860clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2870clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2880clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2890clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2900clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2910clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2920clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2930clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2940clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2950clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2960clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2970clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2980clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                2990clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3000clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3010clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3020clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3030clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3040clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3050clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3060clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3070clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3080clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3090clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3100clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3110clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3120clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3130clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3140clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3150clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3160clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3170clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3180clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3190clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3200clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3210clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3220clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                3230clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
