Time resolution is 1 ps
                   0Control = xx0f, clk = 0, Count = xx, Opcode = x, Result = x, Store = z, Stat = x, Inst = xx
                 810Control = 020f, clk = 1, Count = 06, Opcode = 1, Result = 0, Store = z, Stat = 2, Inst = 03
                 820Control = 020f, clk = 0, Count = 06, Opcode = 1, Result = 0, Store = z, Stat = 2, Inst = 03
                 830Control = 020f, clk = 1, Count = 06, Opcode = 1, Result = 0, Store = z, Stat = 2, Inst = 03
                 830Control = 020f, clk = 1, Count = 06, Opcode = 0, Result = 0, Store = z, Stat = 5, Inst = 03
                 840Control = 020f, clk = 0, Count = 06, Opcode = 0, Result = 0, Store = z, Stat = 5, Inst = 03
                 850Control = 022f, clk = 1, Count = 06, Opcode = 0, Result = 0, Store = z, Stat = 5, Inst = 03
                 850Control = 022f, clk = 1, Count = 07, Opcode = 0, Result = 0, Store = z, Stat = 5, Inst = 03
                 860Control = 022f, clk = 0, Count = 07, Opcode = 0, Result = 0, Store = z, Stat = 5, Inst = 03
                 870Control = 022f, clk = 1, Count = 07, Opcode = 0, Result = 0, Store = z, Stat = 5, Inst = 03
                 870Control = 022f, clk = 1, Count = 07, Opcode = 0, Result = 0, Store = z, Stat = 1, Inst = 33
                 880Control = 022f, clk = 0, Count = 07, Opcode = 0, Result = 0, Store = z, Stat = 1, Inst = 33
                 890Control = 022f, clk = 1, Count = 07, Opcode = 0, Result = 0, Store = z, Stat = 1, Inst = 33
                 890Control = 022f, clk = 1, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 1, Inst = 33
                 900Control = 0117, clk = 0, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 1, Inst = 33
                 910Control = 0117, clk = 1, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 1, Inst = 33
                 910Control = 0117, clk = 1, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 920Control = 0117, clk = 0, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 930Control = 0117, clk = 1, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 940Control = 0117, clk = 0, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 950Control = 0137, clk = 1, Count = 07, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 950Control = 0137, clk = 1, Count = 06, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 950Control = 0137, clk = 1, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 950Control = 0137, clk = 1, Count = 00, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 950Control = 0137, clk = 1, Count = 08, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 960Control = 0137, clk = 0, Count = 08, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 970Control = 0137, clk = 1, Count = 08, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 33
                 970Control = 0137, clk = 1, Count = 08, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 10
                 980Control = 0137, clk = 0, Count = 08, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 10
                 990Control = 0137, clk = 1, Count = 08, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 10
                 990Control = 0137, clk = 1, Count = 08, Opcode = 1, Result = 0, Store = z, Stat = 0, Inst = 10
                1000Control = 0188, clk = 0, Count = 08, Opcode = 1, Result = 0, Store = 0, Stat = 0, Inst = 10
