Time resolution is 1 ps
                   0s = x, clk = 0, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 230s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 240s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 250s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 260s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 270s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 280s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 290s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 300s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 310s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 320s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 330s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 340s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 350s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 360s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 370s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 380s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
